Brand;Fragrance;Tier;Gender;Top Notes;Middle Notes;Base Notes;Accords;Rating;Rating Count
Molinard;Le Rãªve Nirmala;Statement, Wildcard;women;Candied Almond, Peach, Mandarin Orange, Magnolia and Bergamot;Exotic Fruits, Orchid, Violet and Rose;Chocolate, Vanilla, Praline, Patchouli and Sandalwood;sweet, fruity, floral, powdery, warm spicy;3.91;221.0
Molinard;Nirmala;Safe, Statement;women;Mango, Passionfruit, Pomelo, Grapefruit and Mandarin Orange;Exotic floral notes and Jasmine;Vanilla, Tonka Bean, Musk, Sandalwood and Virginia Cedar;tropical, sweet, fruity, citrus, vanilla;4.0;467.0
Molinard;Nirmala;Statement;women;Passionfruit, Mandarin Orange and Grapefruit;Mango, Hibiscus and Jasmine;Vanilla, Tonka Bean, Sandalwood and Cedar;tropical, fruity, sweet, vanilla, citrus;3.86;680.0
Molinard;Nirmala Baccarat Edition 2015;Statement;women;Passionfruit, Mango, Pomelo, Grapefruit and Mandarin Orange;Jasmine and Flowers;Vanilla, Tonka Bean, Sandalwood, Musk and Cedar;citrus, sweet, tropical, fruity, vanilla;4.39;36.0
Molinard;Nirmala Limited Edition;Statement;women;Passionfruit, Grapefruit and Mandarin Orange;Jasmine and Strelitzia;Vanilla, Tonka Bean, Sandalwood and Cedar;vanilla, tropical, citrus, sweet, fruity;4.17;103.0
Molinard;Fleur De Figuier;Statement;women;;;;green, fresh, aromatic, woody;4.09;54.0
Molinard;Vanille;Statement;women;;;Vanilla and Benzoin;vanilla, powdery;3.85;33.0
Molinard;Les Fleurs Violette;Statement;women;;Iris, Violet Leaf, Jasmine and Rose;Heliotrope and Musk;powdery, violet, floral, iris, musky;3.94;148.0
Molinard;Les Fleurs Mimosa;Statement;women;;;;powdery, yellow floral, floral, green, vanilla;3.76;34.0
Molinard;Ambre Eau De Parfum;Safe, Statement, Wildcard;unisex;Lavender, Orange, Bergamot and Lemon;Benzoin, Incense, Cloves and Geranium;Vanilla, Patchouli and Musk;warm spicy, amber, vanilla, balsamic, citrus;4.18;405.0
Molinard;Cuir Eau De Parfum;Statement, Wildcard;unisex;Nutmeg, Lemon Verbena and Bergamot;Saffron, Pepper, Lavender and Lily;Leather, Agarwood (Oud), Amber, Musk, Sandalwood and Patchouli;fresh spicy, leather, warm spicy, oud, animalic;3.91;699.0
Molinard;Figue Eau De Parfum;Safe, Statement;unisex;Fig, Lemon and Black Currant;Green Leaves, Floral Notes and Jasmine Sambac;Cedar, Musk and Amberwood;fruity, woody, citrus, green, sweet;4.1;867.0
Molinard;Fleur D'oranger Eau De Parfum;Statement, Wildcard;unisex;Bergamot, Cypress, Lavender and Fig;Neroli, Petitgrain, Jasmine and Rose;Orange Blossom and Musk;white floral, citrus, aromatic, fresh spicy, green;4.07;119.0
Molinard;Iris Eau De Parfum;Statement;unisex;Violet Leaf, Pink Pepper and Pear;Iris and Rose;Musk, Cashmere Wood and Cedar;iris, powdery, musky, woody, violet;3.63;30.0
Molinard;Jasmin Eau De Parfum;Statement;women;Jasmine and Lemon;Orange Blossom, Carnation and Rose;White Musk and Sandalwood;white floral, floral, citrus, warm spicy;3.71;255.0
Molinard;Lavande Eau De Parfum;Safe, Statement, Wildcard;unisex;Lavender and Clary Sage;;Vanilla, Benzoin, Tonka Bean, Coumarin, Labdanum and Patchouli;vanilla, aromatic, lavender, amber, warm spicy;4.01;416.0
Molinard;Muguet Eau De Parfum;Statement;unisex;;;;white floral, floral, fresh, green;3.72;358.0
Molinard;Musc Eau De Parfum;Statement;unisex;Neroli and Bergamot;Patchouli, Amber and Vanilla;Opoponax, Musk and Benzoin;amber, balsamic, patchouli, musky, warm spicy;3.75;346.0
Molinard;Osmanthus Eau De Parfum;Safe, Statement;unisex;Mandarin Orange, Bergamot and Pink Pepper;Osmanthus, Tuberose and Jasmine;Apricot, White Musk and Iris;fruity, floral, powdery, lactonic, musky;4.0;431.0
Molinard;Patchouli Eau De Parfum;Statement, Wildcard;unisex;Geranium, Neroli and Orange;;Vanilla, Sandalwood and Musk;patchouli, woody, warm spicy, fresh spicy, balsamic;3.92;492.0
Molinard;Rose Eau De Parfum;Statement;unisex;;Geranium, Cloves, Chamomile and Violet;Musk, Almond and Vanilla;rose, warm spicy, fresh spicy, aromatic, floral;3.6;237.0
Molinard;Santal Insolent;Statement, Wildcard;unisex;Cardamom, elemi and Pepper;Sandalwood, Cedar and Incense;Leather, Amber and Papyrus;woody, warm spicy, leather, aromatic, powdery;3.81;118.0
Molinard;Vanille Eau De Parfum;Statement;unisex;;;;vanilla, powdery, sweet;3.88;408.0
Molinard;Vanille Fruitee Eau De Parfum;Statement;unisex;Vanilla, Caramel and White Peach;Orchid, Ylang-Ylang and Jasmine;Grapes, Osmanthus and Citron;sweet, fruity, vanilla, caramel, floral;3.94;501.0
Molinard;Vanille Patchouli Eau De Parfum;Safe, Statement, Wildcard;unisex;Patchouli and Sandalwood;Vanilla and Benzoin;;vanilla, warm spicy, woody, patchouli, powdery;4.04;520.0
Molinard;Eau De Citrus;Statement, Wildcard;men;Lime, Grapefruit, Mandarin Orange and Bergamot;Orange Blossom, Petitgrain and White Flowers;Tea Leaf, White Musk and Guaiac Wood;citrus, white floral, green, fresh spicy;4.19;42.0
Molinard;Violette Eau De Parfum;Statement;unisex;Violet, Black Currant, Bergamot and Lemon;Violet, Green Apple, Rose, Peach and Jasmine;Violet Leaf, Iris and White Musk;violet, powdery, fruity, ozonic, floral;3.86;532.0
Molinard;Ãcoute Moi;Statement;women;Neroli, Bitter Orange, Mandarin Orange and Amalfi Lemon;Marigold, Jasmine, Rose, Osmanthus, Ylang-Ylang and Tuberose;African Orange Flower, Benzoin, Raspberry, Tonka Bean and Teak Wood;citrus, white floral, sweet, floral, fruity;3.57;47.0
Molinard;Mirea;Statement;women;Blackberry, Blueberry, Litchi and Melon;Cassis, Basil, Iris, Big Strawberry, Jasmine and Amalfi Lemon;Toffee, Vanilla, Sandalwood, Magnolia and Musk;fruity, sweet, aromatic, powdery, green;3.79;57.0
Molinard;Vents Et Marã©es;Statement;women;Tangerine, Clementine, Grapefruit and Black Currant;Sea Notes, Freesia, Lily-of-the-Valley, Rose and Jasmine;White Musk, Ambergris, Sandalwood, Vanilla and Tonka Bean;citrus, floral, marine, white floral, aromatic;3.88;25.0
Molinard;Les Fleurs Fleur De Figuer;Statement;women;;Fig Leaf and Galbanum;;green, fresh, woody, aromatic;4.2;90.0
Molinard;Les Fleurs Jasmin;Statement;women;Green Notes and Water Notes;Jasmine, Orange Blossom and Rose;;white floral, musky, green;4.22;63.0
Molinard;Les Fleurs Rose;Statement, Wildcard;women;;Rose and Cloves;;rose, woody, floral, warm spicy;3.91;96.0
Molinard;Cologne France;Statement, Wildcard;unisex;Lemon, Orange, Bergamot and Lavender;Neroli and Orange Blossom;;citrus, white floral, fresh spicy, aromatic;4.42;24.0
Molinard;Ambre;Statement;women;Coriander, Myrtle and Thyme;Incense, Amber and Labdanum;Vanilla, Musk, Patchouli, Sandalwood, Tonka Bean, Styrax and Cedar;amber, warm spicy, aromatic, vanilla, balsamic;3.77;140.0
Molinard;1849 Collection Iles D'or;Statement;women;Plum, Freesia and Citruses;Sandalwood, Virginia Cedar, Amber and Jasmine;Hazelnut, Sweet Notes, Vanille and Musk;sweet, woody, nutty, fruity, floral;4.51;45.0
Molinard;160;Statement;women;Hyacinth and Lily-of-the-Valley;Cyclamen and Ylang-Ylang;Sandalwood, Virginia Cedar and Oakmoss;woody, floral, green, fresh, white floral;3.77;40.0
Molinard;Bel Air;Statement;women;Mandarin Orange, Bergamot, Cassis, Nutmeg and Pink Pepper;Mimosa, Jasmine, Magnolia, Tuberose, Neroli, Violet Leaves, May Rose and Orris;Lotus, Amber, Sandalwood, Vanilla, Cedar and Musk;floral, powdery, white floral, citrus, woody;3.76;146.0
Molton Brown;Bushukan;Wildcard;men;Lemon, Bergamot and Basil;Cedar and Thyme;Vetiver, Tolu Balsam and Labdanum;aromatic, citrus, woody, amber, fresh spicy;3.98;42.0
Molton Brown;Blossoming Honeysuckle & White Tea;Statement;women;Bergamot and Mandarin Orange;Honeysuckle, Jasmine and White Tea;Vanilla, Sandalwood and Heliotrope;white floral, vanilla, powdery, citrus, fruity;4.0;29.0
Molton Brown;Bizarre Brandy;Statement, Wildcard;unisex;Cinnamon, Orange, Ginger and Cardamom;Brandy, Coffee and Maple;Tobacco, Incense and Cedar;woody, warm spicy, tobacco, sweet, coffee;4.12;60.0
Molton Brown;Wild Mint & Lavandin;Wildcard;unisex;;Nutmeg and Orris Root;Woody Notes and Tonka Bean;fresh spicy, green, aromatic, woody, iris;4.0;38.0
Molton Brown;Tobacco Absolute Eau De Parfum;Statement, Wildcard;unisex;Ginger, Bergamot and White Wine;Tobacco, Nutmeg, Orris, Cedar and Violet;Peru Balsam and Patchouli;tobacco, fresh spicy, woody, citrus, powdery;3.97;65.0
Molton Brown;Sunlit Clementine & Vetiver Eau De Parfum;Wildcard;unisex;Mandarin Orange, Clementine and Lime;Iris, Hazelnut and Fig;Bourbon Vetiver, Moss and Suede;citrus, earthy, woody, aromatic, sweet;4.03;36.0
Molton Brown;Suede Orris Eau De Parfum;Wildcard;unisex;Black Pepper, Mandarin Orange and Olibanum;Tuscan Iris, Rose and Jasmine;Suede, Vanilla, Benzoin and Labdanum;powdery, amber, iris, fresh spicy, leather;4.1;40.0
Molton Brown;Russian Leather Eau De Parfum;Wildcard;unisex;elemi, Bergamot and Black Pepper;Siberian Pine, Birch, Geranium and Lavender;Leather, Cade oil, Vetiver, Vanilla and Amber;aromatic, woody, leather, fresh spicy, smoky;3.89;47.0
Molton Brown;Rose Dunes;Statement, Wildcard;unisex;Saffron, Violet Leaf, Ginger, Green Pepper, Bergamot and Cassis;Rose, Raspberry, Geranium, Magnolia and Lily-of-the-Valley;Agarwood (Oud), Patchouli, Leather, Musk, Vetiver and Sandalwood;rose, warm spicy, oud, patchouli, woody;4.26;70.0
Molton Brown;Rosa Absolute Eau De Parfum;Statement;unisex;Black Currant, Bergamot and elemi;Rose, Geranium and Violet Leaf;Patchouli, Musk, Coffee, Labdanum and Orris;rose, aromatic, floral, fruity, woody;4.31;29.0
Molton Brown;Re-charge Black Pepper Eau De Parfum;Statement;unisex;Lavender, Bergamot, Cardamom and Coriander;Black Pepper, Pink Pepper, Pimento and Amber;Oakmoss, Cedar, Leather and Vetiver;fresh spicy, aromatic, warm spicy, woody, lavender;3.72;72.0
Molton Brown;Orange & Bergamot Eau De Parfum;Wildcard;unisex;Petitgrain, Orange, Bergamot, Bitter Orange and Galbanum;Neroli, Ylang-Ylang, Rose and Clove;Musk, Vetiver, Sandalwood and Peru Balsam;citrus, aromatic, fresh spicy, green, woody;3.93;45.0
Molton Brown;Milk Musk Eau De Parfum;Safe;unisex;Milk and Elemi resin;Vanilla, Musk and Ambroxan;Tonka Bean and Benzoin;vanilla, amber, lactonic, musky, aromatic;4.07;218.0
Molton Brown;Coastal Cypress & Sea Fennel;Safe;unisex;Cardamom, Fig Leaf and Bergamot;Sea Notes, Violet Leaf and Jasmine;Cypress, Cedar and Musk;aromatic, woody, marine, green, aquatic;4.05;151.0
Molton Brown;Labdanum Dusk Eau De Parfum;Wildcard;unisex;Cedar Needles and Saffron;Cedar, Leather and Cypriol Oil or Nagarmotha;Labdanum, Agarwood (Oud), Patchouli, Tonka Bean and Vanilla;woody, amber, leather, warm spicy, vanilla;4.56;41.0
Molton Brown;Jasmine & Sun Rose Eau De Parfum;Wildcard;unisex;Raspberry Leaf, Black Currant, Davana and Bergamot;Rose, Jasmine and Labdanum;Patchouli, Musk and Tonka Bean;rose, fruity, musky, patchouli, sweet;3.88;25.0
Molton Brown;Geranium Nefertum Eau De Parfum;Statement;unisex;Fig Leaf and Bergamot;Geranium and Jasmine;Sandalwood, Labdanum, Osmanthus, Oakmoss and Cedar;woody, green, fresh, powdery, aromatic;4.35;26.0
Molton Brown;Flora Luminare Eau De Parfum;Statement;unisex;Bitter Almond, Mandarin Orange, Olibanum and Petitgrain;Jasmine, Ylang-Ylang, Tiare Flower, Neroli and Rose;Mate, Sandalwood, Cedar and Musk;white floral, yellow floral, woody, sweet, citrus;4.14;36.0
Molton Brown;Fiery Pink Pepper Eau De Parfum;Statement, Wildcard;unisex;Pink Pepper, Ginger, Nutmeg and Tangerine;Osmanthus, Lily-of-the-Valley, Jasmine and Labdanum;Musk, Oakmoss, Cedar and Patchouli;soft spicy, musky, warm spicy, citrus, sweet;4.04;69.0
Molton Brown;Delicious Rhubarb & Rose Eau De Parfum;Statement;unisex;Rhubarb, Raspberry, Grapefruit and Litchi;Peony, Rose and Pink Pepper;Musk, Vanilla and Cedar;fruity, rose, floral, sweet, fresh;3.95;58.0
Molton Brown;Coastal Cypress & Sea Fennel Eau De Parfum;Statement, Wildcard;unisex;Cardamom, Bergamot, Fig Leaf and Ginger;Cypress, Sea Notes, Olibanum and Jasmine;Leather, Vetiver, Cedar and Musk;aromatic, woody, warm spicy, leather, fresh spicy;4.17;101.0
Molton Brown;Bushukan Eau De Parfum;Statement;unisex;Citron, Lemon, Bergamot, Pink Pepper and Black Pepper;Hazelnut, Cedar, Clary Sage and Geranium;Vetiver, Musk, Labdanum and Patchouli;citrus, woody, aromatic, nutty;3.9;20.0
Molton Brown;Paradisiac Pink Pepperpod;Wildcard;women;Pink Pepper and Tangerine;African Ginger and Labdanum;Patchouli and Oakmoss;patchouli, warm spicy, soft spicy, woody, citrus;4.23;30.0
Molton Brown;Intoxicating Davana Blossom;Statement;women;Artemisia, Neroli and Bergamot;Broom, Laburnum and Orange Blossom;Jasmine and Tolu Balsam;white floral, yellow floral, sweet, citrus, herbal;4.29;41.0
Molton Brown;Cool Buchu;Statement;men;;;;warm spicy, aromatic, citrus, green, woody;3.68;25.0
Molton Brown;Neon Amber Eau De Parfum;Statement;unisex;Pink Pepper, Violet Leaves and Mandarin Orange;Tonka Bean and Cedar Needles;Cedar, Ambroxan and Labdanum;amber, woody, vanilla, musky, sweet;3.9;50.0
Molton Brown;Delicious Rhubarb & Rose;Wildcard;unisex;Yuzu, Grapefruit and Lemongrass;Rhubarb Leaf, Rose and Mint;Cotton Candy, Musk and Vanilla;citrus, green, sweet, aromatic, fresh spicy;3.97;37.0
Molton Brown;Dewy Lily Of The Valley & Star Anise;Statement;women;Magnolia, Star Anise and Green Mandarin;White Tea, Lily-of-the-Valley and Peony;Ylang-Ylang, White Musk and Sandalwood;floral, fresh, green, white floral, citrus;4.27;22.0
Molton Brown;Fiery Pink Pepper;Statement, Wildcard;women;Pink Pepper, Tangerine and elemi;Nutmeg and Ginger;Patchouli and Cedar;citrus, woody, warm spicy, soft spicy, patchouli;4.02;95.0
Molton Brown;Valbonne;Wildcard;unisex;Orange Blossom and Bergamot;Iris, Mimosa and Rose;Leather and Vetiver;leather, iris, powdery, earthy, woody;3.85;27.0
Molton Brown;Singosari;Wildcard;unisex;Ginger and Incense;Nutmeg and Cinammon;Patchouli and Vetiver;warm spicy, fresh spicy, amber, smoky, balsamic;4.15;33.0
Molton Brown;Shisur;Wildcard;unisex;Dried Fruits, Caraway and Iris;Saffron, Labdanum and Orris;Agarwood (Oud), Olibanum and Cedar;amber, woody, fresh spicy, iris, oud;4.26;38.0
Molton Brown;Mahina;Statement;women;Orange Blossom and Ylang-Ylang;Jasmine, Frangipani and Tiare Flower;Vanila and Cedar;white floral, floral, sweet, citrus, vanilla;4.27;33.0
Molton Brown;Londinium;Statement, Wildcard;men;Wild Berries and Bergamot;Myrrh and Oakmoss;Whiskey and Incense;woody, amber, whiskey, warm spicy, citrus;4.36;53.0
Molton Brown;Lijiang;Statement;unisex;Pink Pepper, Red Berries and Grass;Osmanthus and White Tea;White Musk and Vetiver;fruity, green, floral, fresh, soft spicy;4.0;40.0
Molton Brown;Iunu;Statement, Wildcard;unisex;Ginger and elemi;Black Pepper, Egyptian Jasmine and Ylang-Ylang;Patchouli and Oakmoss;warm spicy, fresh spicy, white floral, aromatic, woody;4.13;63.0
Molton Brown;Apuldre;Wildcard;unisex;Juniper Berries and Artemisia;Cedar and Violet Leaf;Leather and Styrax;aromatic, woody, fresh spicy, leather, amber;4.03;33.0
Molton Brown;Ylang-ylang;Wildcard;women;Ginger, Cardamom and Tangerine;Ylang-Ylang, Jasmine and Rose;Vanilla, Cedar and Musk;warm spicy, yellow floral, woody, sweet, vanilla;4.12;42.0
Molton Brown;Vintage With Elderflower;Statement;unisex;Grapefruit, Mandarin Orange and White Currant;Black Elder, Petitgrain and Coriander;Tonka Bean, Vetiver and Ambergris;citrus, sweet, aromatic, amber, fruity;4.04;28.0
Molton Brown;Vetiver & Grapefruit;Wildcard;unisex;Grapefruit, Cardamom and Pink Pepper;Nutmeg and Cinnamon;Vetiver, Cedar and Patchouli;woody, citrus, aromatic, earthy, fresh spicy;4.03;30.0
Molton Brown;Tobacco Absolute;Statement, Wildcard;men;Bergamot, Grapefruit and elemi;Cedar, Palisander Rosewood and Nutmeg;Tobacco, Peru Balsam and Leather;woody, citrus, fresh spicy, balsamic, tobacco;3.98;137.0
Molton Brown;Bracing Silverbirch;Wildcard;men;Nutmeg, Cardamom, Bergamot and Lemon;Caraway and Jasmine;Vetiver, Cedar and Incense;woody, aromatic, fresh spicy, warm spicy, amber;4.19;26.0
Molton Brown;Suede Orris;Wildcard;unisex;Mandarin Orange, elemi and Olibanum;Orris, Rose and Jasmine;Patchouli, Labdanum and Cedar;woody, amber, citrus, iris, balsamic;3.85;61.0
Molton Brown;Rosa Absolute;Statement, Wildcard;women;Black Currant, Raspberry and Pink Pepper;Rose, Geranium and Violet Leaf;Patchouli, Vanilla and Labdanum;rose, fruity, woody, patchouli, sweet;4.37;111.0
Molton Brown;Re-charge Black Pepper;Statement, Wildcard;men;Black Pepper, Lemon and Ginger;Coriander and Basil;Vetiver, Oakmoss and Ambergris;aromatic, fresh spicy, warm spicy, citrus, earthy;3.92;79.0
Molton Brown;Orange & Bergamot;Wildcard;unisex;Orange, Bergamot, Mandarin Orange and Lemon;Petitgrain, Cardamom and Galbanum;Neroli, Ylang-Ylang and Musk;citrus, aromatic, fresh spicy, green;3.84;88.0
Molton Brown;Neon Amber Eau De Toilette;Statement;unisex;Pink Pepper, Mandarin Orange and Violet Leaves;Tonka Bean and Cedar Needles;Ambroxan, Cedar and Labdanum;amber, musky, sweet, citrus, vanilla;3.74;31.0
Molton Brown;Muddled Plum;Statement, Wildcard;unisex;Orange, Saffron and elemi;Plum, Rum and Davana;Benzoin, Sandalwood and Musk;fruity, sweet, warm spicy, rum, woody;4.15;98.0
Molton Brown;Milk Musk Eau De Toilette;Safe;unisex;Pear and Peach;Musk, Vanilla and Ambroxan;Tonka Bean and White Cedar Extract;musky, vanilla, powdery, sweet, amber;4.17;339.0
Molton Brown;Mesmerising Oudh Accord & Gold;Statement, Wildcard;unisex;Cinnamon and Nutmeg;Myrrh, elemi and Black Tea;Tobacco, Agarwood (Oud), Honey and Vetiver;sweet, tobacco, oud, aromatic, honey;4.12;154.0
Molton Brown;Juniper Jazz;Wildcard;unisex;Mint, Metallic notes and Juniper Berries;Orris, Woody Notes and Guaiac Wood;Musk, Patchouli and Sandalwood;aromatic, green, metallic, fresh spicy, iris;3.89;36.0
Molton Brown;Jasmine & Sun Rose;Statement;women;Raspberry, Peach and Bergamot;Rose, Osmanthus and Jasmine;Patchouli, Musk and Labdanum;fruity, rose, floral, sweet, patchouli;3.69;59.0
Molton Brown;Heavenly Gingerlily;Statement, Wildcard;women;Ginger, Cardamom and Cloves;Lily, Tuberose, Jasmine and Tagetes;Musk, Sandalwood and Cedar;white floral, warm spicy, tuberose, aromatic, woody;3.93;99.0
Molton Brown;Geranium Nefertum;Statement, Wildcard;unisex;Fig Leaf and Bergamot;Geranium and Jasmine;Sandalwood, Labdanum and oak moss;woody, green, fresh, fresh spicy, aromatic;4.13;52.0
Molton Brown;Flora Luminare;Statement;unisex;Orange Blossom, Ylang-Ylang and Mandarin Orange;Frangipani, Jasmine and Rose;Musk, Vanilla and Cedar;white floral, citrus, floral, yellow floral, sweet;3.88;88.0
Molton Brown;Russian Leather;Statement, Wildcard;unisex;Black Tea, Elemi resin and Basil;Tobacco, Birch and Siberian Pine;Leather, Cade oil and Vetiver;aromatic, leather, woody, smoky, fresh spicy;3.97;163.0
Molton Brown;Black Pepper;Wildcard;men;Bergamot and Caraway;Coriander, Violet Leaf and Ginger;Patchouli and Oakmoss;aromatic, citrus, earthy, warm spicy, patchouli;3.89;95.0
Molton Brown;Mesmerising Oudh Accord & Gold Eau De Parfum;Statement, Wildcard;unisex;Davana, Black Pepper, Cardamom and Bergamot;Saffron, Vanilla, Black Tea and Rose;Tobacco, Agarwood (Oud), Styrax, Olibanum and Honey;amber, tobacco, warm spicy, oud, sweet;3.96;85.0
Molton Brown;Rogart;Wildcard;unisex;elemi and Juniper Berries;Angelica and Maple;Guaiac Wood and Fir Resin;woody, aromatic, fresh spicy, musky, amber;4.39;33.0
Moncler;Moncler Pour Femme;Safe, Statement;women;Powdery Notes, Snow and Bergamot;Heliotrope and Jasmine Sambac;Vanilla, Sandalwood, Cedar and Amber;powdery, vanilla, woody;4.02;487.0
Moncler;Moncler Pour Homme;Statement;men;Green Notes and Clary Sage;;Sandalwood, Cedar, Vetiver and Amber;woody, aromatic, green, powdery;3.8;388.0
Moncler;Moncler Sunrise Pour Homme;Statement, Wildcard;men;Bergamot, Pink Pepper and Lemon;Sage, Suede and Indonesian Nutmeg;Haitian Vetiver, Frankincense and Patchouli;aromatic, citrus, fresh spicy, woody, soft spicy;4.09;90.0
Moncler;Haute Montagne;Statement, Wildcard;unisex;;;;woody, mossy, vanilla, powdery, earthy;3.86;57.0
Moncler;Moncler Sunrise Pour Femme;Statement;women;Pear, Violet Leaves and Grapefruit;Freesia, Peony, Lily of the Valley and Egyptian Jasmine;Australian Sandalwood, Amber and Texas Cedar;woody, floral, fresh, aquatic, fruity;3.83;84.0
Moncler;Le Bois Glacã©;Statement;unisex;;;;aromatic, citrus, woody, earthy, soft spicy;3.7;43.0
Moncler;Le Solstice;Statement, Wildcard;unisex;;;;powdery, iris, violet, woody, earthy;4.22;89.0
Moncler;Les Roches Noires;Statement;unisex;;;;fresh spicy, amber, warm spicy, aromatic, woody;3.75;40.0
Moncler;La Cordã©e;Statement, Wildcard;unisex;;;;fresh spicy, aromatic, citrus, woody, green;4.13;95.0
Montale;Oud Edition;Statement, Wildcard;unisex;;;;oud, leather, smoky, amber, woody;4.27;199.0
Montale;Rendez-vous Ã Paris;Statement;unisex;Pear and Rhubarb;Rose Petals, Patchouli, White Flowers and Ginger;Musk, Sugar, Vanilla, Powdery Notes and Ambergris;rose, sweet, powdery, fruity, vanilla;3.92;137.0
Montale;Powder Flowers;Statement;women;;;;floral, vanilla, rose, woody, fruity;3.79;834.0
Montale;Oudyssee;Statement, Wildcard;unisex;Sea Notes, Lemon, Bergamot and Lavender;Ginger and Amber;Oud, Musk and Mate;citrus, aromatic, marine, fresh spicy, oud;4.04;111.0
Montale;Oudrising;Statement, Wildcard;unisex;Leather, Bergamot, Pink Grapefruit and Pepper;Agarwood (Oud), Smoke, Woodsy Notes, Black Tea, Labdanum, Rose, Patchouli and Jasmine;Tobacco, Incense, Vanilla, Sandalwood, Musk, Amber and Cedar;woody, smoky, amber, leather, fresh spicy;4.19;236.0
Montale;Oud Pashmina;Statement, Wildcard;unisex;;;;oud, rose, vanilla, musky, powdery;4.18;345.0
Montale;Oud Fool Roses;Statement;unisex;Rose and Tangerine;Taif Rose, Oud and Cashmere Wood;Musk, Amber and Labdanum;rose, musky, powdery, amber, citrus;4.35;20.0
Montale;Oud Dream;Statement, Wildcard;unisex;;;;oud, patchouli, rose, woody, warm spicy;4.29;413.0
Montale;Attar;Statement, Wildcard;unisex;;;;rose, oud, woody, powdery, warm spicy;3.92;428.0
Montale;Oriental Flowers;Statement;women;Ylang-Ylang, Rose and Bergamot;Orris Root and Jasmine;;balsamic, woody, amber, yellow floral, rose;3.68;194.0
Montale;Orchid Powder;Statement;unisex;;;;sweet, yellow floral, coconut, floral, white floral;3.55;371.0
Montale;Orange Flowers;Statement;unisex;Mandarin Orange, Spices and Lemon;Orange Blossom, Honey, Jasmine, Ylang-Ylang and Patchouli;Vanilla, White Musk, Oakmoss and Cedar;white floral, citrus, sweet, honey, yellow floral;3.76;433.0
Montale;Pure Love;Statement, Wildcard;unisex;;Sandalwood and Vetiver;Vanilla, Ambergris and Leather;woody, vanilla, animalic, leather, amber;3.93;537.0
Montale;Musk To Musk;Statement;unisex;;;;musky, woody, oud, fresh spicy, powdery;3.72;391.0
Montale;Moon Aoud;Statement;unisex;Agarwood (Oud), Rose and Saffron;Leather, Vetiver and Patchouli;Sandalwood and Amber;leather, warm spicy, oud, woody, rose;3.66;252.0
Montale;Lucky Candy;Statement;unisex;Bergamot, Honey and Cacao;Frangipani, Marshmallow, Neroli, Coconut and Lily of the Valley;Musk, Vanilla, Toffee and Amber;floral, citrus, sweet, tropical, powdery;3.68;262.0
Montale;Louban;Statement;unisex;;;;amber, oud, rose, woody, warm spicy;3.79;365.0
Montale;Original Aoud;Statement;unisex;;;;oud, fresh spicy;3.74;66.0
Montale;Leather Patchouli;Statement, Wildcard;unisex;Patchouli, Leather, Agarwood (Oud) and Labdanum;Cedar and Sandalwood;Ambergris, Vanilla and White Musk;woody, patchouli, leather, amber, animalic;3.85;359.0
Montale;Rendez-vous Ã Milan;Safe, Statement, Wildcard;unisex;Basil, Roasted Coffee Beans and Yellow Fruits;Basil, Rose, Cloves and Tuberose;Caramel, Vanilla, Musk and Amber;warm spicy, caramel, fresh spicy, coffee, rose;4.02;164.0
Montale;Rose Night;Safe, Statement, Wildcard;unisex;;;White Musk, Patchouli and Amber;rose, musky, patchouli, amber, floral;4.01;364.0
Montale;Oud Island;Statement, Wildcard;unisex;Sicilian Bergamot, Italian Lemon and Tangerine;Black Leather, Sandalwood, Oud, Solar Notes, Flowers and Indian Tuberose;Vanilla, Tobacco, Amber, Labdanum and Musk;citrus, woody, powdery, amber, oud;4.03;92.0
Montale;Diamond Rose;Statement;women;Fig Leaf, Bergamot and Geranium;Turkish Rose and Patchouli;Sandalwood and Vanilla;rose, woody, green, citrus, warm spicy;3.62;64.0
Montale;Diamond Greedy;Statement;women;Pear and Mandarin Orange;Vanilla, Rose and Jasmine;White Musk and Patchouli;citrus, fruity, vanilla, musky, sweet;3.62;65.0
Montale;Diamond Flowers;Statement;women;Iris Flower, Rose and Jasmine;Amber and Vanilla;Sandalwood and Moss;powdery, woody, amber, vanilla, iris;3.99;74.0
Montale;Wood On Fire;Statement, Wildcard;unisex;;;;woody, smoky, oud, vanilla, powdery;3.82;285.0
Montale;Wild Aoud;Statement, Wildcard;unisex;;;;fresh spicy, aromatic, oud, herbal, woody;3.97;430.0
Montale;White Musk;Statement;unisex;;;;musky, powdery, ozonic, yellow floral, aquatic;3.65;863.0
Montale;White Aoud;Statement, Wildcard;unisex;;;;warm spicy, oud, woody, rose, amber;3.95;922.0
Montale;Vetiver Patchouli;Safe, Statement, Wildcard;unisex;Carrot and Pink Pepper;Vetiver and Jasmine;;woody, earthy, patchouli, soft spicy, aromatic;4.15;329.0
Montale;Vetiver Des Sables;Statement;unisex;;;;aromatic, woody, marine, warm spicy, earthy;3.66;176.0
Montale;Velvet Flowers;Statement;women;;;;fruity, woody, floral, warm spicy, rose;3.66;777.0
Montale;Velvet Fantasy;Statement;women;Fruity Notes, Citruses and Solar Notes;Violet and Rose;White Musk, Incense and Amber;fruity, amber, powdery, musky, sweet;3.65;313.0
